ra,dec,NUMBER_IN,FILENAME,X_POS,Y_POS,MJD-OBS,OBJECT,FILTER,EXPTIME,S-SEEING,AIRMASS,PC-ZP,PC-ZPSTD,QC-FLAG,FLAGS_MASK,BACKGROUND,MAG_OPT,MAGERR_OPT,SNR_OPT,LIMMAG_OPT,FNU_OPT,FNUERR_OPT,MAG_APER_R0.66xFWHM,MAGERR_APER_R0.66xFWHM,SNR_APER_R0.66xFWHM,FNU_APER_R0.66xFWHM,FNUERR_APER_R0.66xFWHM,MAG_APER_R1.5xFWHM,MAGERR_APER_R1.5xFWHM,SNR_APER_R1.5xFWHM,FNU_APER_R1.5xFWHM,FNUERR_APER_R1.5xFWHM,MAG_APER_R5xFWHM,MAGERR_APER_R5xFWHM,SNR_APER_R5xFWHM,FNU_APER_R5xFWHM,FNUERR_APER_R5xFWHM
243.60635,-61.06684,250,ML1_20190721_203912_red,4321.311546303928,2300.66051717626,58685.8605648939,1138,q,60.0,3.5401373,1.1990935,23.72032,0.027238557,yellow,0,23.456156,13.708033,0.0017167734,632.4284,19.212214,11934.026,18.870163,14.294047,0.0022988084,472.3039,6956.339,14.728523,13.780154,0.0023018727,471.67517,11167.035,23.675266,13.456549,0.0064007766,169.6257,15044.583,88.69283
243.60635,-61.06684,250,ML1_20190721_204040_red,4321.329192016548,2304.8634438741383,58685.86158211403,1138,q,60.0,3.5015457,1.2008169,23.718666,0.028446086,yellow,0,23.432074,13.712238,0.0017236866,629.8919,19.199604,11887.886,18.872898,14.310858,0.002319595,468.07144,6849.4673,14.63338,13.788609,0.0023117645,469.6569,11080.422,23.592587,13.4681,0.006450701,168.3129,14885.376,88.43871
243.60635,-61.06684,250,ML1_20190721_204208_red,4321.314506865248,2306.477257921508,58685.86259275425,1138,q,60.0,3.8258183,1.2025554,23.719606,0.029748907,yellow,0,24.548563,13.703107,0.0017489837,620.7812,19.191439,11988.294,19.311626,14.326033,0.002493937,435.35028,6754.402,15.514867,13.783865,0.0026230684,413.91837,11128.943,26.886806,13.407981,0.007573198,143.3656,15732.853,109.73937
243.60635,-61.06684,250,ML1_20190721_204336_red,4321.087973742679,2306.1651788190625,58685.8636112649,1138,q,60.0,3.9026911,1.2043343,23.711838,0.028245209,yellow,0,25.3159,13.705243,0.0017605051,616.71857,19.171127,11964.723,19.40062,14.328926,0.002524418,430.09366,6736.426,15.662695,13.787482,0.0026797063,405.1698,11091.922,27.375982,13.395443,0.007693361,141.12637,15915.58,112.77537
243.60635,-61.06684,250,ML1_20190721_204503_red,4321.245013078225,2308.0060844244367,58685.86461947454,1138,q,60.0,3.6616433,1.2061217,23.719124,0.03043331,yellow,0,25.36028,13.713832,0.0017453429,622.0762,19.17569,11870.448,19.081985,14.3250885,0.0024367657,445.56445,6760.2773,15.17239,13.791749,0.0025200346,430.84177,11048.424,25.64381,13.447909,0.0073025203,148.67964,15164.782,101.99635
243.60635,-61.06684,250,ML1_20190721_204630_red,4321.264783590595,2311.652124777089,58685.86563538678,1138,q,60.0,3.860776,1.2079496,23.716333,0.029412549,yellow,0,23.985432,13.704646,0.001749549,620.5806,19.180494,11971.307,19.290493,14.300627,0.002457519,441.8017,6914.321,15.650282,13.779659,0.0026165599,414.94797,11172.135,26.924183,13.396473,0.007494988,144.86163,15900.491,109.763306
243.60635,-61.06684,250,ML1_20190721_204759_red,4321.099809284519,2313.432731459815,58685.86665824354,1138,q,60.0,3.6955104,1.2098175,23.723543,0.029565351,yellow,0,25.452045,13.705544,0.0017376406,624.83356,19.204096,11961.402,19.143341,14.296938,0.0023963954,453.07053,6937.8447,15.312946,13.778434,0.0024932795,435.46512,11184.743,25.684591,13.439804,0.0072345473,150.07658,15278.398,101.80401
243.60635,-61.06684,250,ML1_20190721_204927_red,4320.456642144145,2311.793778738516,58685.86767618127,1138,q,60.0,3.7520244,1.2117038,23.720892,0.029870562,yellow,0,25.292376,13.709178,0.0017409042,623.66223,19.198769,11921.439,19.115217,14.294356,0.002408074,450.87323,6954.361,15.424204,13.779816,0.0025354996,428.21393,11170.526,26.086323,13.426873,0.0073456177,147.80733,15461.467,104.60555
243.60635,-61.06684,250,ML1_20190721_205054_red,4320.436176281282,2314.2397017242674,58685.86868241749,1138,q,60.0,3.5816052,1.2135955,23.720915,0.028600536,yellow,0,24.466354,13.715779,0.0017349457,625.80414,19.216166,11849.185,18.934334,14.302971,0.0023378832,464.40988,6899.4053,14.856284,13.78751,0.002372697,457.5958,11091.646,24.23896,13.460118,0.006720515,161.55551,14995.212,92.8177
243.60635,-61.06684,250,ML1_20190721_205221_red,4320.328982735293,2317.8272258412385,58685.86969896631,1138,q,60.0,3.62147,1.215534,23.722454,0.028594546,yellow,0,24.543135,13.719919,0.0017381286,624.65814,19.218596,11804.086,18.896873,14.304003,0.0023592438,460.20517,6892.845,14.977765,13.787839,0.0024201714,448.61954,11088.272,24.716427,13.459194,0.0069434373,156.36868,15007.954,95.97801
